"District_Name","SubCounty","Parish","Villagecode","C3KQ64_1","C3KQ64_2","C3KQ64_3","C3KQ64_4","C3KQ64_5","C3KQ64_6","C3KQ64_7","C3KQ64_8","C3KQ64_9","C3KQ64_10","C3KQ64_11","C3KQ64_12","C3KQ64_13","C3KQ64_14","C3KQ64_15","C3KQ64_16","C3KQ64_17","C3KQ64_18","C3KQ64_19","C3KQ64_20","C3KQ64_A","C3KQ64_B","C3KQ64_C","Survey_Visit","Education_Response","Reason_Edu_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,,,,,,,,,,,,,,2,3,"no school at the island"
102,102101,10210104,1021010402,,,,,,,,,,,,,,,,,,,,,2,8,11,2,1,
102,102101,10210108,1021010802,,,,,,,,,,,,,,,,,,,,,1,8,12,2,2,
102,102102,10210202,1021020205,,,,,,,,,,,,,,,,,,,,,8,18,19,2,2,
102,102102,10210205,1021020504,,,,,,,,,,,,,,,,,,"WITHHOLDING SALARY",,,8,11,2,2,1,
102,102102,10210206,1021020601,"N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N",,,,4,8,5,2,3,"The school was still closed for holidays"
102,102102,10210208,1021020805,,,,,,,,,,,,,,,,,,,,,2,8,11,2,1,
102,102103,10210301,1021030109,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,2,11,8,2,1,
102,102103,10210302,1021030203,,,,,,,,,,,,,,,,,,,,,8,14,11,2,1,
102,102103,10210304,1021030412,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,2,3,"holiday"
102,102103,10210305,1021030504,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","USE OF DEPARTURE BOOK","USE OF REQUEST LETTERS",,8,18,19,1,2,
102,102103,10210305,1021030509,"Y","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",,,,1,7,6,2,3,"No Contact"
102,102103,10210306,1021030606,"N","Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N",,,,6,2,8,2,3,"school closed for holidays"
102,102103,10210308,1021030803,,,,,,,,,,,,,,,,,,,,,1,2,18,2,,
102,102103,10210309,1021030904,"N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N",,,,6,3,2,2,1,
102,102103,10210309,1021030904,"N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N",,,,6,3,2,1,1,
102,102103,10210312,1021031208,,,,,,,,,,,,,,,,,,,,,2,11,6,2,2,
102,102104,10210401,1021040102,"Y","Y","N","N","N","N","N","Y","N","N","Y","Y","N","Y","N","N","N",,,,2,8,11,2,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210402,1021040203,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,1,3,
102,102104,10210410,1021041002,"Y","Y","N","Y","N","N","N","Y","N","Y","Y","N","N","Y","Y","Y","N",,,,2,1,4,2,2,
102,102104,10210411,1021041118,,,,,,,,,,,,,,,,,,,,,,,,2,,
102,102104,10210417,1021041701,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,"no one was present at school"
102,102104,10210419,1021041903,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",,,,11,8,2,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102105,10210501,1021050106,,,,,,,,,,,,,,,,,,,,,6,2,8,2,1,
102,102105,10210503,1021050307,,,,,,,,,,,,,,,,,,,,,,,,2,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210504,1021050405,,,,,,,,,,,,,,,,,,,,,8,2,14,2,3,
102,102105,10210504,1021050405,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,8,2,14,2,3,
102,102105,10210510,1021051004,,,,,,,,,,,,,,,,,,,,,,,,2,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210513,1021051305,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,8,11,2,2,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210515,1021051506,,,,,,,,,,,,,,,,,,,,,13,4,8,2,2,
102,102105,10210518,1021051832,,,,,,,,,,,,,,,,,,,,,1,8,11,2,1,
103,103105,10310505,1031050505,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Provision of lunch",,,1,18,19,2,3,"On holiday"
104,104102,10410204,1041020405,,,,,,,,,,,,,,,,,,"Inspiration from Headteacher",,,2,18,11,2,1,
104,104104,10410403,1041040304,,,,,,,,,,,,,,,,,,,,,1,2,3,2,2,
104,104105,10410504,1041050403,,,,,,,,,,,,,,,,,,,,,8,2,3,2,1,
104,104208,10420804,1042080404,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,1,2,3,2,2,
105,105105,10510502,1051050201,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Obtaining a written permission",,,18,8,19,2,2,
106,106101,10610101,1061010108,,,,,,,,,,,,,,,,,,"Filling in absence forms",,,1,2,18,2,1,
106,106101,10610109,1061010902,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Written permision for leaving School",,,18,19,20,2,3,"On holiday"
106,106106,10610606,1061060602,,,,,,,,,,,,,,,,,,,,,1,18,19,2,1,
107,107105,10710503,1071050302,,,,,,,,,,,,,,,,,,"None","None","None",2,11,18,2,1,
107,107105,10710505,1071050503,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Written permision",,,8,18,19,2,1,
107,107202,10720206,1072020601,,,,,,,,,,,,,,,,,,"None",,,18,19,20,2,1,
107,107302,10730203,1073020305,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Teachers' leave book",,,18,18,19,2,3,"On holiday"
107,107305,10730507,1073050702,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,2,3,"On holiday"
108,108106,10810603,1081060309,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Guidance and councelling","Provision of meals at school",,18,1,19,2,3,"On holiday"
108,108301,10830101,1083010101,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,2,3,"On holiday"
108,108301,10830105,1083010505,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Teacher sensitization","Arrival book",,18,19,20,2,3,"On holiday"
108,108305,10830502,1083050204,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,2,1,3,2,1,
110,110105,11010501,1101050107,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N",,,,14,18,19,2,1,
110,110203,11020306,1102030601,,,,,,,,,,,,,,,,,,,,,1,2,3,2,2,
110,110204,11020401,1102040107,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Verbal warning",,,2,18,18,2,3,"On holiday"
110,110206,11020603,1102060309,"N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,2,3,19,1,2,
110,110207,11020704,1102070403,,,,,,,,,,,,,,,,,,,,,2,1,18,2,1,
110,110305,11030501,1103050102,,,,,,,,,,,,,,,,,,,,,1,2,3,2,1,
110,110306,11030601,1103060102,,,,,,,,,,,,,,,,,,,,,1,2,3,2,2,
111,111102,11110201,1111020105,,,,,,,,,,,,,,,,,,,,,2,3,18,2,1,
111,111202,11120204,1112020403,,,,,,,,,,,,,,,,,,,,,1,2,3,2,1,
111,111202,11120206,1112020618,,,,,,,,,,,,,,,,,,,,,1,2,3,2,1,
112,112102,11210203,1121020302,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,
112,112104,11210402,1121040209,,,,,,,,,,,,,,,,,,,,,2,3,11,2,1,
112,112203,11220301,1122030104,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,2,18,19,2,3,"On holiday"
112,112204,11220403,1122040303,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,
113,113105,11310504,1131050402,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",,,,2,8,11,2,3,"On holiday"
113,113105,11310505,1131050505,,,,,,,,,,,,,,,,,,,,,2,8,11,2,1,
113,113111,11311102,1131110205,,,,,,,,,,,,,,,,,,"Away form",,,18,18,20,2,1,
113,113112,11311203,1131120307,,,,,,,,,,,,,,,,,,,,,2,3,20,2,1,
113,113113,11311302,1131130204,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Arrival book",,,18,2,1,2,1,
113,113113,11311306,1131130602,,,,,,,,,,,,,,,,,,,,,8,3,18,2,1,
113,113303,11330301,1133030101,,,,,,,,,,,,,,,,,,,,,8,2,3,2,,
113,113303,11330301,1133030109,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N",,,,16,15,2,2,3,"On holiday"
113,113303,11330305,1133030504,,,,,,,,,,,,,,,,,,"Teachers arrival book","Duty roster",,18,19,,2,1,
113,113304,11330403,1133040308,"N","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,,,2,2,8,1,1,
113,113306,11330606,1133060601,,,,,,,,,,,,,,,,,,,,,1,19,18,2,1,
113,113307,11330701,1133070102,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,2,18,19,2,1,
115,115103,11510302,1151030204,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Arrival book","Written permission",,8,18,18,2,3,"Weekend"
115,115104,11510403,1151040307,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3,"on holiday"
115,115202,11520209,1152020907,,,,,,,,,,,,,,,,,,,,,11,13,14,2,1,
115,115203,11520307,1152030702,,,,,,,,,,,,,,,,,,,,,8,2,3,2,1,
115,115205,11520504,1152050405,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","NONE",,,1,8,18,2,1,
115,115207,11520703,1152070306,"N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y",,,,17,2,8,2,1,
116,116102,11610205,1161020501,,,,,,,,,,,,,,,,,,,,,1,3,2,2,1,
117,117103,11710308,1171030802,,,,,,,,,,,,,,,,,,,,,2,18,19,2,1,
117,117104,11710405,1171040504,,,,,,,,,,,,,,,,,,,,,8,18,19,2,1,
117,117110,11711003,1171100309,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,1,3,"On holiday"
117,117110,11711003,1171100312,,,,,,,,,,,,,,,,,,,,,2,1,3,2,1,
118,118101,11810104,1181010407,,,,,,,,,,,,,,,,,,"explanation to the head teacher",,,2,3,19,2,1,
119,119103,11910303,1191030304,,,,,,,,,,,,,,,,,,,,,2,3,20,2,1,
120,120105,12010502,1201050202,,,,,,,,,,,,,,,,,,"Self motivated","Sensitize parents",,18,11,2,2,1,
122,122102,12210206,1221020604,"N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,,,2,8,18,2,1,
122,122105,12210502,1221050203,,,,,,,,,,,,,,,,,,,,,1,2,3,2,1,
122,122106,12210602,1221060206,,,,,,,,,,,,,,,,,,,,,1,2,3,2,1,
123,123108,12310803,1231080303,,,,,,,,,,,,,,,,,,,,,8,1,2,2,1,
124,124101,12410106,1241010603,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,1,2,3,2,2,
124,124103,12410302,1241030216,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,,,8,18,19,2,3,"Over a weekend"
124,124104,12410401,1241040102,,,,,,,,,,,,,,,,,,"Regular meetings","Nothing","Nothing",18,18,18,2,1,
124,124107,12410701,1241070106,"N","Y","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N",,,,2,12,8,2,1,
124,124108,12410802,1241080210,,,,,,,,,,,,,,,,,,,,,1,2,3,2,2,
201,201106,20110602,2011060205,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,1,2,18,2,1,
201,201106,20110602,2011060205,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,1,2,18,1,1,
201,201106,20110602,2011060205,,,,,,,,,,,,,,,,,,,,,1,2,18,1,1,
201,201106,20110602,2011060205,,,,,,,,,,,,,,,,,,,,,1,2,18,2,1,
201,201110,20111009,2011100902,,,,,,,,,,,,,,,,,,"feeding",,,7,11,18,2,3,"Away for holidays"
203,203202,20320203,2032020304,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,1,3,"OFF for HOLIDAY. HM NOT FOUND"
203,203301,20330101,2033010101,,,,,,,,,,,,,,,,,,,,,8,1,2,2,1,
203,203303,20330304,2033030403,"Y","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",,,,11,1,8,2,3,"Away for holiday."
204,204101,20410103,2041010302,"Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",,,,1,8,2,2,,
204,204102,20410204,2041020405,,,,,,,,,,,,,,,,,,,,,2,18,19,2,2,
204,204203,20420301,2042030105,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,8,11,18,2,1,
204,204301,20430101,2043010103,,,,,,,,,,,,,,,,,,,,,11,8,18,2,1,
204,204301,20430102,2043010202,,,,,,,,,,,,,,,,,,,,,2,11,8,2,2,
204,204302,20430205,2043020514,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Duty Roster",,,1,2,18,2,2,
205,205104,20510401,2051040101,,,,,,,,,,,,,,,,,,"provide lunch",,,1,2,18,2,1,
207,207103,20710301,2071030105,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,6,11,8,2,3,"THE SCHOOL WAS CLOSED FOR HOLIDAYS"
208,208102,20810214,2081021402,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,6,8,11,2,1,
208,208102,20810214,2081021402,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,6,8,11,1,1,
208,208102,20810214,2081021402,"Y","Y","N","N","N","Y","N","Y","N","N","Y","N","N","Y","N","N","N",,,,6,8,11,1,1,
208,208102,20810214,2081021402,"Y","Y","N","N","N","Y","N","Y","N","N","Y","N","N","Y","N","N","N",,,,6,8,11,2,1,
208,208104,20810404,2081040401,,,,,,,,,,,,,,,,,,,,,8,11,14,2,2,
208,208107,20810713,2081071301,,,,,,,,,,,,,,,,,,,,,2,11,14,2,2,
209,209201,20920101,2092010105,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","DUTY ROSTER","DISPLAY OF ATTENDENCE CHART",,8,18,19,2,1,
209,209201,20920104,2092010401,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,1,3,"not school day, weekend"
210,210205,21020504,2102050401,"N","N","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,8,11,14,2,1,
210,210205,21020504,2102050401,"N","N","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,8,11,14,1,1,
210,210205,21020504,2102050401,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,8,11,14,2,1,
210,210205,21020504,2102050401,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,8,11,14,1,1,
211,211101,21110105,2111010504,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,8,11,6,2,3,"SCHOOL WAS CLOSED IT WAS HOLIDAYS"
211,211103,21110303,2111030302,,,,,,,,,,,,,,,,,,,,,8,11,2,2,1,
211,211106,21110603,2111060303,,,,,,,,,,,,,,,,,,,,,6,8,11,2,2,
212,212104,21210403,2121040306,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","WRITTEN REASON FOR ABSENTIA",,,8,18,14,2,1,
212,212105,21210504,2121050407,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,2,8,11,2,1,
212,212202,21220201,2122020101,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","MONTHLY ATTENDENCE FORMS TO THE TOWN CLERK",,,8,18,15,2,1,
212,212305,21230502,2123050204,"N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","MONTHLY ATTENDENCE REGISTER SUBMITED TO DISTRICT OFFICE",,,8,18,11,2,3,"holiday time"
212,212311,21231101,2123110101,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","WRITTEN REQUEST FOR BEING AWAY","DISPLAY OF DAILY ATTENDENCE",,18,8,18,2,1,
214,214101,21410104,2141010403,,,,,,,,,,,,,,,,,,,,,8,1,11,2,2,
214,214101,21410106,2141010604,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,8,11,1,2,2,
214,214102,21410202,2141020206,,,,,,,,,,,,,,,,,,"SALARY REDUCTION FOR TEACHERS ABSENCE",,,1,2,3,2,1,
214,214108,21410801,2141080105,"Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",,,,1,11,1,2,,
214,214113,21411301,2141130103,,,,,,,,,,,,,,,,,,"report to subcounty chief",,,8,1,18,2,1,
214,214113,21411303,2141130307,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,2,1,
214,214113,21411303,2141130307,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,2,,
214,214113,21411303,2141130307,,,,,,,,,,,,,,,,,,,,,2,19,19,2,,
214,214113,21411303,2141130307,,,,,,,,,,,,,,,,,,,,,2,19,19,2,1,
215,215109,21510902,2151090208,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","N","Y","N","N",,,,11,15,2,1,2,
215,215115,21511502,2151150202,"N","N","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,11,8,14,2,3,"holiday"
215,215120,21512002,2151200204,"N","N","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N","TERMLY TEACHER ATTENDENCE REGISTER",,,18,11,8,2,3,
216,216202,21620203,2162020306,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,11,8,2,1,1,
216,216202,21620203,2162020306,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,11,8,2,2,1,
216,216202,21620203,2162020306,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,11,8,2,2,1,
216,216202,21620203,2162020306,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,11,8,2,1,1,
218,218103,21810302,2181030213,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,2,3,"HOLIDAY"
218,218115,21811504,2181150401,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","DISPLAY DAILY ATTENDENCE REGISTER","WARNING IN STAFF MEETING","ASSESSMENT OF WORK LOAD IN TERM DONE",8,18,19,2,3,"holiday"
219,219103,21910313,2191031301,,,,,,,,,,,,,,,,,,,,,2,6,8,2,3,"THE SCHOOL WAS CLOSED BECAUSE IT WAS HOLIDAY TIME"
219,219103,21910317,2191031702,"Y","Y","N","N","N","Y","N","Y","N","Y","Y","N","N","Y","N","N","N",,,,2,8,11,1,1,
219,219103,21910317,2191031702,"Y","Y","N","N","N","Y","N","Y","N","Y","Y","N","N","Y","N","N","N",,,,2,8,11,2,1,
219,219103,21910317,2191031702,,,,,,,,,,,,,,,,,,,,,2,8,11,1,1,
219,219103,21910317,2191031702,,,,,,,,,,,,,,,,,,,,,2,8,11,2,1,
221,221109,22110902,2211090203,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,2,8,11,2,3,
221,221109,22110905,2211090505,"Y","N","N","N","N","N","N","Y","N","N","Y","N","N","Y","N","N","N",,,,8,11,14,2,1,
222,222106,22210602,2221060201,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,,,8,18,18,1,1,
223,223108,22310805,2231080506,"N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","DISPLAY REGISTER ON NOTICE BOARD",,,8,11,18,2,1,
223,223120,22312002,2231200204,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,1,2,
223,223121,22312101,2231210104,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,1,2,8,2,1,
223,223121,22312101,2231210105,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","TEACHERS DAILY REGISTER MARKED DAILY","LESSON AUDITOR CLASS BY CLASS","ARRIVAL BOOK",18,18,20,2,3,"HOLIDAY/MUSIC FESTIVAL"
223,223121,22312103,2231210302,"N","Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N",,,,11,8,2,2,3,"holiday"
223,223126,22312601,2231260115,,,,,,,,,,,,,,,,,,"WEEKLY DUTY ROSTER","1","1",11,2,1,2,1,
223,223128,22312801,2231280102,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","PROVIDE LUNCHTIME MEALS",,,18,4,11,2,2,
224,224105,22410505,2241050511,,,,,,,,,,,,,,,,,,,,,1,2,18,2,,
225,225103,22510304,2251030415,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,8,11,18,2,1,
