"District_Name","SubCounty","Parish","Villagecode","c4fq64","c4fq65","c4fq66","c4fq67","c4fq68","c4fq69","c4fq70","c4fq71","c4fq72","c4fq72_other","c4fq73","c4fq73_other","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,,,3,"no health centre at the island"
102,102101,10210104,1021010402,2,2,3,3,3,4,3,4,3,,,,2,
102,102101,10210108,1021010802,2,2,3,3,3,4,3,3,3,,,,1,
102,102102,10210202,1021020205,,,,,,,,,,,,,,
102,102102,10210205,1021020504,,,,,,,,,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,3,3,3,3,3,4,4,4,4,,,,1,
102,102102,10210208,1021020805,2,3,3,2,3,4,3,3,4,,,,1,
102,102103,10210301,1021030109,,,,,,,,,,,,,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,3,3,3,3,3,3,3,3,3,,,,1,
102,102103,10210304,1021030412,3,3,3,3,3,3,3,3,3,,,,3,"done by another team in trip 1"
102,102103,10210305,1021030504,3,3,3,1,3,3,3,3,3,,,,1,
102,102103,10210305,1021030509,,,,,,,,,,,,,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,,,,,,,,,,,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,,,,,,,,,,,,
102,102103,10210309,1021030904,3,3,3,3,3,3,3,3,3,,,,1,
102,102103,10210309,1021030904,3,3,3,3,3,3,3,3,3,,,,1,
102,102103,10210312,1021031208,,,,,,,,,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,3,3,3,3,3,4,4,4,3,,,,1,
102,102104,10210402,1021040203,,,,,,,,,,,,,3,
102,102104,10210410,1021041002,3,3,3,3,3,4,3,3,3,,,,2,
102,102104,10210411,1021041118,,,,,,,,,,,,,,
102,102104,10210417,1021041701,,,,,,,,,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,,,,,,,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,,,,,,,,,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,,,,,,,,,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,,,,,,,,,,,,,3,
102,102105,10210510,1021051004,2,3,3,2,3,4,3,3,3,,,,1,
102,102105,10210513,1021051305,,,,,,,,,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210515,1021051506,,,,,,,,,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210518,1021051832,,,,,,,,,,,,,3,"Available facility is a hospital NAGURU"
103,103105,10310505,1031050505,,,,,,,,,,,,,3,"Hospital level"
104,104102,10410204,1041020405,2,2,3,1,2,3,4,3,3,,,,1,
104,104104,10410403,1041040304,3,3,3,2,3,3,3,3,2,"PLASTER",3,,1,
104,104105,10410504,1041050403,3,2,3,1,3,3,3,2,3,,,,1,
104,104208,10420804,1042080404,2,2,2,1,2,2,2,2,3,,,,1,
105,105105,10510502,1051050201,2,3,3,1,3,4,4,3,3,,,,1,
106,106101,10610101,1061010108,2,2,2,1,2,1,1,3,3,,,,1,
106,106101,10610109,1061010902,2,2,2,1,2,1,1,3,3,,,,1,
106,106106,10610606,1061060602,3,3,3,3,3,3,3,3,3,,,,1,
107,107105,10710503,1071050302,,,,,,,,,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,,,,,,,,,,,,,3,"Refferal Hospital"
107,107202,10720206,1072020601,,,,,,,,,,,,,3,"Hospital"
107,107302,10730203,1073020305,1,1,3,3,2,1,1,3,3,,,,1,
107,107305,10730507,1073050702,2,2,2,1,2,3,3,3,3,,,,1,
108,108106,10810603,1081060309,2,2,3,1,2,4,3,3,3,,,,1,
108,108301,10830101,1083010101,3,3,3,1,3,1,1,3,3,,,,1,
108,108301,10830105,1083010505,3,3,3,1,3,1,1,3,3,,,,1,
108,108305,10830502,1083050204,3,3,3,3,3,3,3,3,3,,,,1,
110,110105,11010501,1101050107,3,3,2,1,3,4,4,4,3,,,,3,"Facility not open. Staff absenteeism."
110,110203,11020306,1102030601,3,3,2,1,3,3,3,2,3,,,,1,
110,110204,11020401,1102040107,2,4,3,1,2,4,4,4,3,,,,1,
110,110206,11020603,1102060309,3,3,3,1,3,3,3,3,3,,,,1,
110,110207,11020704,1102070403,3,3,3,1,2,2,3,3,3,,,,1,
110,110305,11030501,1103050102,3,3,3,3,3,3,3,3,3,,,,1,
110,110306,11030601,1103060102,3,3,3,3,3,3,3,3,3,,,,2,
111,111102,11110201,1111020105,2,3,3,3,3,3,3,2,2,"water",4,,2,
111,111202,11120204,1112020403,3,3,2,3,3,3,3,2,3,,,,1,
111,111202,11120206,1112020618,3,3,3,1,3,3,3,2,3,,,,1,
112,112102,11210203,1121020302,3,3,3,3,3,3,3,3,3,,,,1,
112,112104,11210402,1121040209,3,3,2,1,3,3,3,2,3,,,,1,
112,112203,11220301,1122030104,3,3,3,2,3,4,4,3,1,"Maama Kit",3,,1,
112,112204,11220403,1122040303,,,,,,,,,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
113,113105,11310504,1131050402,3,4,3,1,3,3,4,3,3,,,,1,
113,113105,11310505,1131050505,3,3,3,3,3,4,3,3,4,,,,3,"The community members mainly go to Entebbe hospital"
113,113111,11311102,1131110205,3,3,3,1,3,4,4,3,3,,,,1,
113,113112,11311203,1131120307,3,2,3,3,3,3,3,3,3,,,,1,
113,113113,11311302,1131130204,,,,,,,,,,,,,3,"Hospital Level"
113,113113,11311306,1131130602,3,3,3,3,3,3,3,3,3,,,,1,
113,113303,11330301,1133030101,,,,,,,,,,,,,,
113,113303,11330301,1133030109,2,2,2,1,3,3,3,2,3,,,,1,
113,113303,11330305,1133030504,3,2,3,1,3,2,3,3,3,,,,1,
113,113304,11330403,1133040308,,,,,,,,,,,,,3,"THE ONE RESPONSIBLE FOR ANSWERING WASNT PRESENT. WILL DO IT NEXT VISIT"
113,113306,11330606,1133060601,3,3,3,3,3,3,3,3,3,,,,3,"INCHARGE NEEDED AN INTRODUCTORY LETTER FROM THE DISTRICT HEALTH OFFFICER"
113,113307,11330701,1133070102,3,4,3,1,3,4,4,4,3,,,,1,
115,115103,11510302,1151030204,3,3,2,1,3,2,3,3,3,,,,1,
115,115104,11510403,1151040307,3,2,2,3,2,3,3,2,3,,,,1,
115,115202,11520209,1152020907,2,2,3,2,2,3,3,3,3,,,,1,
115,115203,11520307,1152030702,2,3,3,1,3,3,3,2,3,,,,1,
115,115205,11520504,1152050405,2,2,2,1,3,3,3,2,3,,,,1,
115,115207,11520703,1152070306,2,3,3,1,3,4,4,3,3,,,,1,
116,116102,11610205,1161020501,3,3,2,3,3,3,3,3,3,,,,1,
117,117103,11710308,1171030802,,,,,,,,,,,,,3,"Refferal Hospital"
117,117104,11710405,1171040504,,,,,,,,,,,,,3,"Refferal hospital"
117,117110,11711003,1171100309,2,2,2,1,2,1,1,3,2,"Antiulcer drugs",3,,1,
117,117110,11711003,1171100312,3,3,3,2,3,3,3,3,3,,,,1,
118,118101,11810104,1181010407,3,3,3,3,3,3,3,3,3,,,,1,
119,119103,11910303,1191030304,2,2,2,2,3,3,3,2,2,"bed sheets",1,"food for patients",1,
120,120105,12010502,1201050202,,,,,,,,,,,,,3,"Not there. Go to mainland at different locations"
122,122102,12210206,1221020604,3,3,2,1,3,3,3,3,2,"Cannulars",3,,1,
122,122105,12210502,1221050203,3,3,3,1,3,3,3,2,3,,,,1,
122,122106,12210602,1221060206,3,3,3,3,3,3,3,3,3,,,,1,
123,123108,12310803,1231080303,2,2,2,2,2,2,2,2,3,,,,1,
124,124101,12410106,1241010603,3,2,3,1,3,3,3,3,2,"quinine",3,,1,
124,124103,12410302,1241030216,2,2,2,1,3,3,4,2,3,,,,1,
124,124104,12410401,1241040102,2,2,2,2,2,3,3,3,2,"Water",2,"Beds",1,
124,124107,12410701,1241070106,3,4,3,1,3,4,4,3,3,,,,1,
124,124108,12410802,1241080210,1,1,1,1,1,3,1,1,3,,,,1,
201,201106,20110602,2011060205,3,3,3,1,3,3,3,3,3,,,,1,
201,201106,20110602,2011060205,3,3,3,1,3,3,3,3,3,,,,1,
201,201110,20111009,2011100902,3,3,3,1,3,3,3,3,3,,,,1,
203,203202,20320203,2032020304,2,2,3,1,3,3,3,3,4,,,,2,
203,203301,20330101,2033010101,3,3,3,1,3,3,1,3,3,,,,1,
203,203303,20330304,2033030403,3,3,3,1,3,3,3,3,4,,,,3,"Main facility is a Hospital"
204,204101,20410103,2041010302,2,2,3,1,2,3,3,3,4,,,,,
204,204102,20410204,2041020405,2,2,3,1,3,2,3,3,3,,,,1,
204,204203,20420301,2042030105,3,3,3,1,3,3,3,3,3,,,,,
204,204301,20430101,2043010103,3,3,3,1,3,3,3,3,3,,,,1,
204,204301,20430102,2043010202,3,3,3,1,1,3,1,3,3,,,,,
204,204302,20430205,2043020514,3,3,3,1,3,3,3,3,4,,,,2,
205,205104,20510401,2051040101,,,,,,,,,,,,,3,"they use a gov''t hospital (kamuli hospital)"
207,207103,20710301,2071030105,2,2,3,1,4,4,4,4,4,,,,1,
208,208102,20810214,2081021402,3,3,3,2,3,2,3,4,4,,,,1,
208,208102,20810214,2081021402,3,3,3,2,3,2,3,4,4,,,,1,
208,208104,20810404,2081040401,2,2,2,2,3,4,4,4,4,,,,1,
208,208107,20810713,2081071301,2,2,2,1,4,4,3,3,3,,,,1,
209,209201,20920101,2092010105,3,3,3,1,3,3,3,2,4,,,,1,
209,209201,20920104,2092010401,,,,,,,,,,,,,3,"weekend"
210,210205,21020504,2102050401,,,,,,,,,,,,,1,
210,210205,21020504,2102050401,,,,,,,,,,,,,3,"staff gone on outreach"
210,210205,21020504,2102050401,2,2,2,1,2,2,2,2,3,,,,3,"staff gone on outreach"
210,210205,21020504,2102050401,2,2,2,1,2,2,2,2,3,,,,1,
211,211101,21110105,2111010504,3,1,3,1,3,4,3,4,3,,,,1,
211,211103,21110303,2111030302,3,3,3,1,3,3,3,3,3,,,,1,
211,211106,21110603,2111060303,3,4,4,1,4,4,4,4,4,,,,1,
212,212104,21210403,2121040306,3,3,2,1,3,2,2,2,3,,,,1,
212,212105,21210504,2121050407,2,2,3,1,3,3,3,3,4,,,,1,
212,212202,21220201,2122020101,2,3,2,1,3,3,3,3,3,,,,1,
212,212305,21230502,2123050204,2,2,3,2,3,3,3,2,3,,,,1,
212,212311,21231101,2123110101,3,3,3,1,3,3,3,3,3,,,,1,
214,214101,21410104,2141010403,,,,,,,,,,,,,3,"They use a hospital called buloba st. francis hospital"
214,214101,21410106,2141010604,,,,,,,,,,,,,3,"it''s a gorvenment hospital (st francis buluba hospital)"
214,214102,21410202,2141020206,3,3,3,1,3,3,3,3,3,,,,2,
214,214108,21410801,2141080105,,,,,,,,,,,,,,
214,214113,21411301,2141130103,3,1,3,1,3,2,1,1,2,"rectal artsernate",1,"quinene injectible",2,
214,214113,21411303,2141130307,,,,,,,,,,,,,1,
214,214113,21411303,2141130307,,,,,,,,,,,,,,
214,214113,21411303,2141130307,3,3,3,1,3,3,3,3,4,,,,1,
214,214113,21411303,2141130307,3,3,3,1,3,3,3,3,4,,,,,
215,215109,21510902,2151090208,2,2,2,1,3,3,3,2,3,,,,1,
215,215115,21511502,2151150202,2,3,3,1,3,3,2,3,3,,,,1,
215,215120,21512002,2151200204,3,3,2,1,3,3,2,3,3,,,,1,
216,216202,21620203,2162020306,2,2,2,1,3,3,3,4,2,"SURGICAL BLADES",2,"SURGICAL BLADES",1,
216,216202,21620203,2162020306,2,2,2,1,3,3,3,4,2,"SURGICAL BLADES",2,"SURGICAL BLADES",1,
218,218103,21810302,2181030213,3,3,3,1,3,3,3,3,3,,,,1,
218,218115,21811504,2181150401,2,2,3,1,2,3,3,3,3,,,,1,
219,219103,21910313,2191031301,2,3,3,1,3,4,4,3,3,,,,1,
219,219103,21910317,2191031702,2,3,3,1,3,4,3,3,4,,,,1,
219,219103,21910317,2191031702,2,3,3,1,3,4,3,3,4,,,,1,
221,221109,22110902,2211090203,2,2,3,1,2,3,3,2,3,,,,1,
221,221109,22110905,2211090505,3,3,3,1,3,3,3,3,3,,,,1,
222,222106,22210602,2221060201,2,2,2,1,3,2,3,2,4,,,,1,
223,223108,22310805,2231080506,3,3,3,1,3,3,3,3,3,,,,1,
223,223120,22312002,2231200204,2,2,3,1,3,2,3,2,4,,,,2,
223,223121,22312101,2231210104,2,3,3,1,3,3,2,2,3,,,,1,
223,223121,22312101,2231210105,2,2,2,2,3,3,3,2,3,,,,3,
223,223121,22312103,2231210302,2,2,2,2,3,3,3,2,4,,,,1,
223,223126,22312601,2231260115,3,3,2,1,3,2,2,2,3,,,,1,
223,223128,22312801,2231280102,2,3,3,1,3,2,3,3,4,,,,2,
224,224105,22410505,2241050511,2,1,3,1,3,3,3,3,4,,,,,
225,225103,22510304,2251030415,2,2,3,2,3,1,1,2,4,,,,1,
225,225111,22511103,2251110322,2,2,3,1,3,3,3,2,4,,,,2,
226,226101,22610101,2261010102,2,2,2,1,3,3,3,2,3,,,,1,
226,226103,22610302,2261030205,2,2,2,1,3,3,2,2,3,,,,1,
226,226103,22610303,2261030301,3,3,2,1,1,1,1,2,4,,,,,
226,226104,22610405,2261040510,3,3,3,1,3,2,3,3,3,,,,1,
228,228102,22810203,2281020304,2,2,3,1,3,2,2,3,3,,,,1,
230,230107,23010709,2301070905,,,,,,,,,,,,,,
232,232101,23210104,2321010406,2,2,2,1,4,4,4,4,3,,,,1,
232,232203,23220304,2322030405,2,2,2,1,3,3,3,2,4,,,,1,
302,302101,30210102,3021010215,3,3,3,1,3,3,3,3,3,,,,,
302,302201,30220105,3022010508,3,3,3,1,3,3,3,2,3,,,,1,
302,302201,30220107,3022010708,3,3,2,1,3,2,3,3,3,,,,2,
302,302203,30220302,3022030205,,,,,,,,,,,,,,
302,302204,30220405,3022040505,3,2,2,1,3,3,3,3,3,,,,1,
302,302205,30220505,3022050502,2,2,3,1,3,3,3,2,3,,,,1,
303,303201,30320102,3032010205,2,3,3,1,3,3,3,3,3,,,,1,
303,303202,30320207,3032020706,3,2,2,1,3,3,3,3,3,,,,1,
303,303204,30320405,3032040506,,,,,,,,,,,,,3,"The Community uses the Referal Hospital"
303,303402,30340204,3034020408,3,4,3,1,3,4,3,3,3,,,,1,
303,303404,30340401,3034040102,2,2,3,3,3,3,3,3,3,,,,1,
303,303404,30340403,3034040304,2,2,3,3,3,3,3,3,3,,,,1,
303,303405,30340507,3034050711,2,2,3,1,3,3,3,3,3,,,,1,
303,303503,30350304,3035030411,3,3,3,1,2,3,3,3,3,,,,,
303,303504,30350402,3035040205,3,3,3,1,3,3,3,3,3,,,,1,
304,304102,30410201,3041020101,3,3,3,1,3,3,3,3,3,,,,,
304,304204,30420401,3042040105,3,3,3,3,3,3,3,3,3,,,,1,
304,304204,30420402,3042040201,3,3,3,1,3,3,3,3,3,,,,1,
304,304301,30430104,3043010404,3,3,3,3,3,3,3,3,3,,,,1,
305,305102,30510208,3051020803,,,,,,,,,,,,,,
306,306102,30610203,3061020306,2,2,2,2,3,4,4,4,2,"Canulars",3,,1,
306,306103,30610301,3061030101,3,3,2,3,3,4,3,4,2,"CANULARS",3,,1,
306,306103,30610301,3061030101,3,3,2,3,3,4,3,4,2,"CANULARS",3,,1,
306,306106,30610601,3061060103,2,2,2,3,2,4,2,4,1,"Bedsheets",1,"Food",1,
307,307108,30710802,3071080206,2,2,3,1,3,3,3,2,3,,,,,
307,307108,30710803,3071080301,2,2,3,1,3,3,3,2,3,,,,,
307,307202,30720203,3072020302,,,,,,,,,,,,,3,"FACILITY MAINLY USED IS HOSPITAL"
308,308102,30810206,3081020606,3,3,3,1,3,4,3,3,4,,,,1,
309,309102,30910205,3091020502,2,2,3,1,3,3,3,3,3,,,,1,
309,309103,30910305,3091030501,3,3,3,1,3,4,4,4,3,,,,1,
309,309204,30920406,3092040606,3,3,3,1,3,3,3,3,3,,,,1,
310,310102,31010202,3101020203,2,2,3,1,3,3,3,3,3,,,,1,
310,310206,31020603,3102060309,3,4,3,1,3,4,3,4,3,,,,1,
310,310206,31020604,3102060408,3,4,3,1,3,4,3,4,4,,,,1,
310,310207,31020706,3102070603,,,,,,,,,,,,,3,"THE COMMUNITY USES THE HOSPITAL"
311,311103,31110302,3111030202,2,2,3,2,3,3,3,3,3,,,,1,
311,311103,31110302,3111030202,2,2,3,2,3,3,3,3,3,,,,1,
311,311302,31130201,3113020101,2,3,3,1,3,4,4,4,3,,,,1,
312,312105,31210502,3121050202,3,3,3,3,3,3,3,2,3,,,,,
313,313102,31310205,3131020505,2,2,3,1,3,3,3,3,3,,,,1,
313,313104,31310403,3131040312,3,3,3,1,3,3,3,3,3,,,,1,
314,314103,31410304,3141030403,2,2,3,1,3,4,4,4,3,,,,1,
317,317101,31710101,3171010102,4,4,2,1,3,2,3,2,3,,,,,
317,317102,31710202,3171020201,2,2,2,1,3,3,3,2,2,"plaster",3,,1,
317,317106,31710605,3171060512,2,2,2,1,3,3,3,2,3,,,,2,
318,318103,31810302,3181030204,3,3,3,1,3,3,3,3,3,,,,1,
318,318103,31810302,3181030204,3,3,3,1,3,3,3,3,3,,,,1,
318,318107,31810705,3181070501,3,3,3,3,3,3,3,3,4,,,,1,
318,318114,31811402,3181140207,3,3,3,1,3,4,4,4,3,,,,1,
319,319103,31910303,3191030304,2,2,2,3,3,3,3,3,3,,,,1,
319,319105,31910508,3191050803,2,2,2,1,3,3,3,3,3,,,,1,
319,319107,31910702,3191070202,2,2,2,3,3,3,3,3,3,,,,1,
320,320103,32010303,3201030323,3,3,3,1,3,3,3,3,3,,,,1,
320,320108,32010808,3201080801,2,3,3,1,3,4,3,3,3,,,,1,
321,321103,32110304,3211030405,2,2,3,1,2,2,3,2,3,,,,,
321,321105,32110505,3211050502,2,2,2,1,3,3,3,3,3,,,,1,
321,321106,32110601,3211060105,3,2,3,1,3,3,3,2,3,,,,1,
321,321107,32110706,3211070617,3,1,3,1,3,3,3,3,1,"HYDROCORTISONE",1,"EXPEN",1,
322,322108,32210802,3221080206,3,3,3,1,3,3,3,2,3,,,,1,
322,322111,32211104,3221110412,3,2,3,1,3,3,3,3,2,"QUININE TABLETS",3,,2,
323,323104,32310403,3231040301,2,2,3,1,3,3,3,3,3,,,,1,
323,323106,32310604,3231060409,3,3,3,3,3,3,3,3,3,,,,,
323,323107,32310701,3231070104,2,3,3,1,3,3,3,2,3,,,,2,
323,323108,32310802,3231080204,2,2,2,1,2,2,3,2,3,,,,1,
325,325101,32510102,3251010205,2,4,2,1,3,3,3,3,3,,,,1,
325,325103,32510305,3251030508,2,3,2,1,3,3,3,2,3,,,,1,
325,325103,32510306,3251030601,2,3,2,1,3,3,3,2,3,,,,2,
325,325103,32510306,3251030602,2,3,2,1,3,3,3,2,3,,,,2,
327,327103,32710303,3271030305,3,3,3,1,3,4,3,3,3,,,,1,
329,329106,32910602,3291060206,2,2,3,1,3,3,3,3,1,"CANDLES / TORCES /TADOBA",3,,,
330,330107,33010701,3301070101,2,2,2,1,3,3,3,3,3,,,,1,
330,330107,33010703,3301070303,2,2,2,1,3,3,3,3,3,,,,1,
330,330110,33011001,3301100102,3,3,3,3,3,3,3,3,3,,,,1,
402,402207,40220705,4022070507,2,2,2,1,3,3,3,3,2,"CANUARERS",3,,1,
402,402208,40220805,4022080505,3,3,3,1,3,3,3,3,3,,,,1,
403,403101,40310102,4031010202,3,3,3,1,3,3,3,3,3,,,,1,
403,403105,40310505,4031050502,3,3,3,1,3,3,3,3,3,,,,1,
403,403201,40320102,4032010205,3,3,3,1,3,3,3,3,3,,,,1,
403,403205,40320504,4032050403,3,3,3,1,3,3,3,3,3,,,,3,"INCHARGE HAD GONE TO THE REFUGEE CAMP FOR A MEETING"
403,403301,40330104,4033010412,,,,,,,,,,,,,3,"THE COMMUNITY USES A HOSPITAL"
404,404102,40410203,4041020302,3,3,3,2,3,3,3,3,3,,,,1,
404,404207,40420704,4042070409,3,3,3,2,3,3,3,3,3,,,,1,
404,404403,40440303,4044030303,3,3,3,3,3,3,3,3,3,,,,1,
405,405104,40510402,4051040205,3,3,3,1,3,3,3,3,3,,,,1,
405,405208,40520803,4052080304,3,3,3,1,3,3,3,3,3,,,,1,
405,405211,40521103,4052110310,3,3,3,1,3,3,3,3,3,,,,1,
405,405301,40530104,4053010409,3,3,3,1,3,3,3,3,3,,,,1,
405,405302,40530203,4053020304,3,3,3,1,3,3,3,3,3,,,,2,
406,406108,40610804,4061080401,3,3,3,1,3,3,3,3,3,,,,1,
406,406201,40620102,4062010203,2,2,3,3,3,3,3,3,3,,,,,
406,406210,40621003,4062100306,3,3,3,3,3,3,3,3,1,"BEDDINGS FOR THE IN-PATIENTS",3,,1,
406,406212,40621201,4062120102,3,3,3,1,3,3,3,4,3,,,,3,"THEY HAD ALL GONE FOR OUTREACH(THEY ARE ONLY TWO)"
406,406303,40630307,4063030706,3,3,3,1,3,3,3,3,3,,,,1,
407,407202,40720204,4072020402,3,3,3,2,3,3,3,3,3,,,,1,
407,407205,40720501,4072050104,,,,,,,,,,,,,3,"THE COMMUNITY USE KAGADI HOSPITAL"
407,407303,40730303,4073030305,3,3,3,1,3,3,3,3,1,"BEDDINGS FOR THOSE ON ADMISSION",3,,3,"INCHARGE NOT AROUND & OTHERS WERE TOO BUSY TO ATTEND TO ME"
407,407306,40730604,4073060419,3,3,2,1,3,3,3,3,3,,,,3,"WEEKEND"
408,408102,40810201,4081020104,3,3,3,1,3,3,3,3,3,,,,1,
408,408112,40811202,4081120206,3,3,3,2,3,3,3,3,3,,,,1,
408,408113,40811304,4081130406,3,3,3,1,3,3,3,3,3,,,,1,
409,409101,40910104,4091010401,,,,,,,,,,,,,3,"THEY USE A PRIVATE HOSPITAL & P7 PUPILS HAD ALREADY LEFT SCHOOL."
409,409203,40920305,4092030509,3,3,3,1,3,3,3,3,3,,,,1,
409,409301,40930103,4093010304,,,,,,,,,,,,,3,"THE COMMUNITY USE  MASINDI HOSPITAL"
410,410102,41010204,4101020405,3,3,3,1,3,3,3,3,3,,,,1,
410,410105,41010502,4101050204,3,3,3,2,3,3,3,3,3,,,,1,
410,410201,41020101,4102010106,,,,,,,,,,,,,3,"IN CHARGE & ASSISTANT IN WORKSOP FOR A WEEK. TO BE DONE DURING SECOND VISIST"
410,410201,41020101,4102010107,3,3,3,1,3,3,3,3,3,,,,3,"IN CHARGE NOT AROUND TO BE CAPTURED DURING 2nd VISIT"
410,410303,41030306,4103030601,2,3,2,1,2,3,3,2,3,,,,1,
411,411103,41110301,4111030105,3,3,3,1,3,3,3,3,3,,,,1,
411,411203,41120302,4112030202,3,3,3,2,3,3,3,3,3,,,,1,
411,411302,41130202,4113020204,3,3,3,3,3,3,3,3,3,,,,1,
411,411304,41130402,4113040203,3,3,3,1,3,3,3,3,3,,,,2,
411,411402,41140202,4114020204,3,3,3,1,3,3,3,3,3,,,,1,
411,411403,41140303,4114030308,3,3,3,1,3,3,3,3,3,,,,1,
412,412103,41210304,4121030414,1,1,3,4,3,3,3,2,3,,,,1,
412,412201,41220107,4122010704,3,3,3,1,3,3,3,3,3,,,,1,
412,412203,41220304,4122030405,3,3,3,1,3,3,3,3,3,,,,3,"NO BODY WAS AT THE HEALTH CENTER/ IT WAS LOCKED FOR THE THREE DAS WE WERE IN THE EA"
414,414116,41411601,4141160106,2,2,3,1,3,3,3,3,3,,,,1,
415,415105,41510502,4151050204,3,2,1,3,3,3,3,3,3,,,,1,
415,415106,41510608,4151060812,3,3,3,1,3,3,3,3,3,,,,1,
415,415110,41511004,4151100404,3,3,3,1,3,3,3,3,3,,,,1,
415,415114,41511407,4151140703,3,3,3,1,3,3,3,3,3,,,,1,
417,417101,41710101,4171010109,3,3,3,2,3,3,3,3,3,,,,1,
417,417102,41710201,4171020103,3,3,3,1,3,3,3,3,3,,,,1,
417,417104,41710401,4171040107,3,3,2,3,3,3,3,3,3,,,,1,
417,417105,41710501,4171050107,3,3,3,1,3,3,3,3,3,,,,2,
417,417110,41711004,4171100404,3,3,3,1,3,3,3,3,3,,,,1,
417,417114,41711404,4171140402,3,3,3,1,3,3,3,3,3,,,,1,
418,418104,41810403,4181040301,3,3,3,2,3,3,3,3,3,,,,1,
418,418201,41820102,4182010203,3,3,3,2,3,3,3,3,3,,,,1,
418,418202,41820201,4182020104,3,3,3,1,3,3,3,3,3,,,,3,"HEALTH WORK NOT FOUND TO BE DONE DURING THE 2nd VISIT"
418,418209,41820907,4182090702,3,3,3,3,3,3,3,3,3,,,,1,
419,419204,41920402,4192040205,3,3,3,1,3,3,3,2,3,,,,1,
420,420107,42010704,4201070403,2,2,3,1,3,3,3,3,3,,,,2,
420,420108,42010803,4201080309,3,3,3,2,3,3,3,3,3,,,,1,
421,421108,42110801,4211080107,3,3,3,1,3,3,3,3,3,,,,1,
422,422102,42210204,4221020401,3,3,3,1,3,3,3,3,3,,,,2,
423,423109,42310905,4231090509,,,,,,,,,,,,,3,"NOT DONE, ITS A WEEKEND"
426,426104,42610402,4261040201,3,3,3,1,3,3,3,3,3,,,,1,
